/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/torch/utils/tensorboard/__init__.py:4: DeprecationWarning: distutils Version classes are deprecated. Use packaging.version instead.
  if not hasattr(tensorboard, "__version__") or LooseVersion(
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/torch/utils/tensorboard/__init__.py:6: DeprecationWarning: distutils Version classes are deprecated. Use packaging.version instead.
  ) < LooseVersion("1.15"):
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64[0m
  logger.warn(
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.[0m
  logger.warn(f"{pre} is not within the observation space.")
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64[0m
  logger.warn(
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.[0m
  logger.warn(f"{pre} is not within the observation space.")
Device: cpu
global_step=12, episodic_return=[10.137043]
global_step=33, episodic_return=[24.455343]
global_step=77, episodic_return=[31.36806]
global_step=97, episodic_return=[3.940759]
global_step=120, episodic_return=[11.472996]
global_step=140, episodic_return=[0.6017108]
global_step=151, episodic_return=[2.221911]
global_step=161, episodic_return=[1.416333]
global_step=170, episodic_return=[1.4115987]
global_step=180, episodic_return=[0.309798]
global_step=190, episodic_return=[0.25947952]
global_step=200, episodic_return=[0.43177223]
SPS: 263
global_step=209, episodic_return=[1.0839152]
global_step=218, episodic_return=[0.7384435]
global_step=227, episodic_return=[1.1544348]
global_step=236, episodic_return=[1.0395604]
global_step=245, episodic_return=[0.6952219]
global_step=254, episodic_return=[0.9785094]
global_step=263, episodic_return=[0.9507625]
global_step=272, episodic_return=[0.6413573]
global_step=281, episodic_return=[0.8431673]
global_step=290, episodic_return=[0.82950675]
global_step=299, episodic_return=[0.59801483]
SPS: 268
global_step=308, episodic_return=[0.8902824]
global_step=317, episodic_return=[0.82569206]
global_step=326, episodic_return=[0.88914144]
global_step=335, episodic_return=[0.6575674]
global_step=344, episodic_return=[0.68772185]
global_step=353, episodic_return=[0.7386379]
global_step=362, episodic_return=[1.1172063]
global_step=371, episodic_return=[0.60779893]
global_step=380, episodic_return=[0.9183302]
global_step=389, episodic_return=[0.7512834]
global_step=398, episodic_return=[0.65290177]
SPS: 270
global_step=407, episodic_return=[0.5041213]
global_step=416, episodic_return=[0.8608979]
global_step=425, episodic_return=[1.3978797]
global_step=434, episodic_return=[1.0456444]
global_step=444, episodic_return=[0.49272716]
global_step=453, episodic_return=[2.0431087]
global_step=463, episodic_return=[4.710959]
global_step=473, episodic_return=[5.514328]
global_step=483, episodic_return=[5.51451]
global_step=493, episodic_return=[5.2596745]
SPS: 271
global_step=503, episodic_return=[5.897558]
global_step=513, episodic_return=[5.607351]
global_step=523, episodic_return=[5.6419015]
global_step=533, episodic_return=[5.8390675]
global_step=543, episodic_return=[5.926256]
global_step=554, episodic_return=[6.856301]
global_step=566, episodic_return=[9.393084]
global_step=588, episodic_return=[38.134697]
SPS: 272
global_step=610, episodic_return=[38.70718]
global_step=633, episodic_return=[40.277493]
global_step=655, episodic_return=[38.16152]
global_step=677, episodic_return=[38.22103]
global_step=700, episodic_return=[40.411983]
SPS: 274
global_step=722, episodic_return=[38.623493]
global_step=745, episodic_return=[40.519073]
global_step=767, episodic_return=[38.775]
global_step=789, episodic_return=[38.187595]
SPS: 275
global_step=811, episodic_return=[38.803772]
global_step=833, episodic_return=[38.522686]
global_step=855, episodic_return=[38.64835]
global_step=879, episodic_return=[41.685246]
SPS: 275
global_step=902, episodic_return=[40.326485]
global_step=923, episodic_return=[37.18762]
global_step=945, episodic_return=[38.93015]
global_step=967, episodic_return=[38.5049]
global_step=989, episodic_return=[38.50435]
SPS: 274
global_step=1011, episodic_return=[39.125347]
global_step=1033, episodic_return=[38.613106]
global_step=1057, episodic_return=[41.853554]
global_step=1079, episodic_return=[38.658157]
SPS: 275
global_step=1102, episodic_return=[40.062405]
global_step=1125, episodic_return=[40.39469]
global_step=1148, episodic_return=[40.348343]
global_step=1170, episodic_return=[38.739975]
