libEGL warning: egl: failed to create dri2 screen
libEGL warning: failed to open /dev/dri/card4: Permission denied

libEGL warning: egl: failed to create dri2 screen
libEGL warning: failed to open /dev/dri/card3: Permission denied

libEGL warning: egl: failed to create dri2 screen
libEGL warning: failed to open /dev/dri/card2: Permission denied

libEGL warning: egl: failed to create dri2 screen
libEGL warning: failed to open /dev/dri/card1: Permission denied

/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/torch/utils/tensorboard/__init__.py:4: DeprecationWarning: distutils Version classes are deprecated. Use packaging.version instead.
  if not hasattr(tensorboard, "__version__") or LooseVersion(
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/torch/utils/tensorboard/__init__.py:6: DeprecationWarning: distutils Version classes are deprecated. Use packaging.version instead.
  ) < LooseVersion("1.15"):
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `reset()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64[0m
  logger.warn(
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.[0m
  logger.warn(f"{pre} is not within the observation space.")
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:164: UserWarning: [33mWARN: The obs returned by the `step()` method was expecting numpy array dtype to be <class 'numpy.float32'>, actual type: float64[0m
  logger.warn(
/home/vkonuru/.conda/envs/cleanRL/lib/python3.9/site-packages/gymnasium/utils/passive_env_checker.py:188: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.[0m
  logger.warn(f"{pre} is not within the observation space.")
Device: cuda
global_step=12, episodic_return=[10.137043]
global_step=33, episodic_return=[24.455343]
global_step=77, episodic_return=[31.36806]
global_step=97, episodic_return=[3.940759]
global_step=113, episodic_return=[10.493657]
global_step=145, episodic_return=[26.426783]
global_step=167, episodic_return=[9.872292]
global_step=208, episodic_return=[31.882452]
global_step=224, episodic_return=[16.432081]
global_step=243, episodic_return=[19.854567]
global_step=258, episodic_return=[12.445809]
global_step=277, episodic_return=[18.716702]
global_step=288, episodic_return=[7.640363]
global_step=328, episodic_return=[36.74399]
global_step=383, episodic_return=[49.284042]
global_step=396, episodic_return=[11.52337]
global_step=412, episodic_return=[13.856421]
global_step=426, episodic_return=[12.927986]
global_step=446, episodic_return=[16.879007]
global_step=464, episodic_return=[10.929363]
global_step=487, episodic_return=[17.046625]
global_step=509, episodic_return=[21.48278]
global_step=524, episodic_return=[10.287947]
global_step=538, episodic_return=[11.91034]
global_step=566, episodic_return=[15.661605]
global_step=578, episodic_return=[10.260446]
global_step=596, episodic_return=[16.688332]
global_step=625, episodic_return=[20.149124]
global_step=651, episodic_return=[22.113352]
global_step=671, episodic_return=[12.862372]
global_step=687, episodic_return=[14.212564]
global_step=705, episodic_return=[9.50812]
global_step=720, episodic_return=[13.822654]
global_step=747, episodic_return=[31.51763]
global_step=765, episodic_return=[19.333933]
global_step=780, episodic_return=[10.275873]
global_step=792, episodic_return=[9.148444]
global_step=821, episodic_return=[11.211338]
global_step=845, episodic_return=[13.114073]
global_step=866, episodic_return=[19.670155]
global_step=882, episodic_return=[8.44821]
global_step=892, episodic_return=[8.7670965]
global_step=910, episodic_return=[16.521461]
global_step=923, episodic_return=[11.3889475]
global_step=944, episodic_return=[5.0303926]
global_step=967, episodic_return=[13.876725]
global_step=976, episodic_return=[7.1093597]
global_step=986, episodic_return=[8.385042]
global_step=1001, episodic_return=[12.603797]
global_step=1036, episodic_return=[49.373314]
global_step=1049, episodic_return=[11.346719]
global_step=1058, episodic_return=[4.4139743]
global_step=1075, episodic_return=[13.78217]
global_step=1087, episodic_return=[8.430346]
global_step=1104, episodic_return=[17.107983]
global_step=1116, episodic_return=[11.035234]
global_step=1151, episodic_return=[29.578829]
global_step=1202, episodic_return=[73.5825]
global_step=1214, episodic_return=[9.883923]
global_step=1228, episodic_return=[11.138639]
global_step=1239, episodic_return=[8.547571]
global_step=1262, episodic_return=[12.186007]
global_step=1283, episodic_return=[13.664914]
global_step=1303, episodic_return=[17.944431]
global_step=1313, episodic_return=[7.8562207]
global_step=1331, episodic_return=[10.36663]
global_step=1351, episodic_return=[13.469153]
global_step=1380, episodic_return=[42.433372]
global_step=1408, episodic_return=[11.467732]
global_step=1421, episodic_return=[11.885272]
global_step=1438, episodic_return=[9.722403]
global_step=1456, episodic_return=[9.438201]
global_step=1470, episodic_return=[11.547862]
global_step=1494, episodic_return=[25.39861]
global_step=1531, episodic_return=[37.26705]
global_step=1542, episodic_return=[8.199955]
global_step=1556, episodic_return=[11.335049]
global_step=1580, episodic_return=[32.643375]
global_step=1601, episodic_return=[9.423699]
global_step=1615, episodic_return=[10.083982]
global_step=1641, episodic_return=[13.331328]
global_step=1664, episodic_return=[18.539227]
global_step=1690, episodic_return=[21.26236]
global_step=1728, episodic_return=[53.561813]
global_step=1744, episodic_return=[12.785809]
global_step=1800, episodic_return=[75.362564]
global_step=1811, episodic_return=[6.7732205]
global_step=1824, episodic_return=[9.124639]
global_step=1844, episodic_return=[13.597077]
global_step=1858, episodic_return=[11.199161]
global_step=1879, episodic_return=[16.273153]
